,-124.375,-123.125,-121.875,-120.625,-119.375,-118.125,-116.875,-115.625,-114.375,-113.125,-111.875,-110.625,-109.375,-108.125,-106.875,-105.625,-104.375,-103.125,-101.875
32.0,27.0,32.0,32.0,28.0,17.0,7.0,0.0,5.0,17.0,11.0,11.0,2.0,7.0,8.0,7.0,14.0,17.0,19.0,13.0
33.0,30.0,33.0,33.0,28.0,21.0,3.0,5.0,5.0,8.0,7.0,5.0,5.0,5.0,5.0,7.0,7.0,21.0,19.0,16.0
34.0,32.0,33.0,30.0,25.0,3.0,2.0,7.0,7.0,5.0,7.0,8.0,5.0,2.0,3.0,5.0,5.0,10.0,11.0,16.0
35.0,28.0,33.0,32.0,8.0,7.0,13.0,7.0,7.0,5.0,8.0,3.0,5.0,5.0,5.0,7.0,10.0,11.0,8.0,13.0
36.0,24.0,28.0,25.0,11.0,10.0,7.0,7.0,7.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,11.0,11.0,14.0
37.0,21.0,27.0,8.0,10.0,0.0,2.0,11.0,7.0,5.0,7.0,7.0,5.0,3.0,3.0,2.0,5.0,10.0,17.0,21.0
38.0,24.0,35.0,36.0,8.0,10.0,5.0,13.0,7.0,7.0,7.0,3.0,8.0,7.0,2.0,0.0,5.0,14.0,27.0,28.0
39.0,24.0,7.0,17.0,5.0,7.0,8.0,13.0,5.0,2.0,3.0,3.0,7.0,2.0,2.0,0.0,3.0,7.0,13.0,17.0
40.0,19.0,2.0,19.0,10.0,8.0,3.0,10.0,5.0,2.0,2.0,3.0,16.0,5.0,2.0,0.0,2.0,10.0,17.0,19.0
41.0,11.0,2.0,11.0,10.0,16.0,14.0,8.0,7.0,7.0,0.0,0.0,3.0,5.0,3.0,2.0,2.0,17.0,22.0,25.0
42.0,8.0,3.0,8.0,10.0,19.0,14.0,17.0,8.0,5.0,5.0,2.0,7.0,8.0,7.0,10.0,16.0,22.0,24.0,19.0
43.0,7.0,7.0,2.0,8.0,13.0,8.0,8.0,5.0,5.0,7.0,5.0,3.0,5.0,8.0,10.0,16.0,21.0,17.0,16.0
44.0,7.0,2.0,2.0,8.0,3.0,3.0,2.0,0.0,5.0,5.0,5.0,2.0,0.0,5.0,5.0,17.0,10.0,11.0,17.0
45.0,10.0,3.0,2.0,11.0,7.0,3.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,7.0,10.0,11.0,10.0,11.0,14.0
46.0,8.0,3.0,3.0,8.0,7.0,7.0,2.0,0.0,0.0,0.0,3.0,2.0,10.0,11.0,13.0,14.0,13.0,14.0,14.0
47.0,8.0,2.0,0.0,3.0,3.0,8.0,3.0,0.0,0.0,3.0,7.0,5.0,8.0,11.0,14.0,16.0,14.0,16.0,11.0
48.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,11.0,10.0,8.0,14.0,16.0,19.0,19.0,16.0,14.0
49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,8.0,10.0,10.0,13.0,14.0,17.0,21.0,19.0,16.0,16.0
